Counter, Temperature, Humidity, Distance, Pressure
1,27.79,39.37,288,1009.68
2,27.81,42.62,1619,1009.65
3,27.80,46.09,1607,1009.68
4,27.82,48.72,2876,1009.64
5,27.85,49.62,2863,1009.62
6,28.66,51.77,2928,1009.62
7,28.85,61.98,2782,1009.72
8,28.78,70.14,3305,1009.69
9,28.73,75.86,2710,1009.68
10,28.67,79.92,3079,1009.72
11,30.14,83.54,2511,1009.96
12,30.53,86.34,3481,1009.77
13,30.38,88.22,3242,1009.79
14,30.19,89.74,107,1009.75
15,30.22,90.87,3515,1009.76
16,30.01,91.66,1688,1009.78
17,29.71,92.20,2027,1009.80
18,29.25,92.58,2593,1009.81
19,28.53,92.51,97,1010.15
20,28.58,91.77,106,1009.89
21,28.83,90.71,107,1009.88
22,28.77,88.64,1417,1009.80
23,28.78,85.56,1324,1009.77
24,28.76,83.02,104,1009.80
25,29.10,80.63,102,1009.83
26,29.10,79.24,101,1009.77
27,29.30,78.03,106,1009.78
28,29.23,78.03,833,1009.80
29,29.23,76.36,151,1009.88
30,29.43,75.70,152,1009.88
31,29.43,75.73,902,1009.82
32,29.38,74.53,431,1009.84
33,29.55,73.52,470,1009.92
34,29.73,74.66,147,1010.22
35,29.86,75.86,147,1009.91
36,29.85,77.58,133,1010.06
37,29.82,77.53,-1,1009.86
38,29.79,75.61,399,1009.85
39,29.78,73.04,390,1009.86
40,29.71,73.00,412,1009.82
41,31.22,75.17,408,1009.79
42,30.92,80.03,398,1009.95
43,33.00,84.47,388,1013.06
44,32.48,87.36,309,1009.90
45,32.34,89.37,-1,1009.88
46,32.15,90.87,446,1009.91
47,31.91,91.91,103,1009.90
48,31.72,92.67,17,1009.90
49,31.53,93.17,355,1009.91
50,31.37,93.55,358,1009.90
51,31.19,93.83,358,1009.92
52,31.07,93.97,355,1009.90
53,30.98,94.02,357,1009.87
54,30.89,93.95,357,1009.87
55,30.79,93.77,354,1009.85
56,30.68,93.38,362,1009.91
57,30.64,92.95,363,1009.92
58,30.56,92.31,362,1009.90
59,30.47,91.53,364,1009.94
60,30.48,90.72,364,1009.93
61,30.42,89.92,355,1009.95
62,30.39,89.14,356,1009.93
63,30.36,88.56,362,1009.93
64,30.32,87.95,364,1009.94
65,30.30,87.21,356,1009.93
66,30.28,86.52,364,1009.94
67,30.27,85.78,364,1009.92
68,30.25,85.00,363,1009.93
69,30.22,84.26,354,1009.94
70,30.17,83.57,354,1009.94
71,30.15,82.83,355,1009.96
72,30.10,82.16,363,1009.97
73,30.08,81.53,362,1010.00
74,30.07,81.05,362,1009.97
75,30.05,80.60,363,1009.97
76,29.99,80.13,361,1009.97
77,29.99,79.73,362,1009.97
78,29.95,79.24,364,1009.96
79,29.91,78.78,363,1009.90
80,29.89,78.39,353,1009.92
81,29.87,78.02,362,1009.90
82,29.85,77.63,363,1009.88
83,29.79,77.20,361,1009.89
84,29.79,76.81,352,1009.89
85,29.73,76.36,361,1009.90
86,29.73,75.86,361,1009.86
87,29.71,75.35,362,1009.88
88,29.68,74.80,355,1009.85
89,29.62,74.22,363,1009.86
90,29.61,73.76,361,1009.87
91,29.58,73.26,361,1009.90
92,29.56,72.81,362,1009.85
93,29.53,72.32,360,1009.86
94,29.48,71.80,361,1009.84
95,29.46,71.28,362,1009.82
96,29.48,70.66,363,1009.82
97,29.46,70.11,363,1009.86
98,29.40,69.60,353,1009.84
99,29.40,69.10,362,1009.83
100,29.37,68.57,361,1009.82
101,29.37,68.07,361,1009.82
102,29.37,67.60,363,1009.81
103,29.37,67.06,365,1009.83
104,29.33,66.48,360,1009.80
105,29.33,65.94,362,1009.82
106,29.31,65.33,362,1009.79
107,29.31,64.64,361,1009.80
108,29.32,63.89,362,1009.82
109,29.32,63.22,362,1009.82
110,29.30,62.55,361,1009.78
111,29.30,61.89,363,1009.80
112,29.28,61.29,360,1009.78
113,29.31,60.72,362,1009.77
114,29.28,60.17,363,1009.75
115,29.27,59.65,361,1009.76
116,29.27,59.08,362,1009.76
117,29.27,58.71,362,1009.78
118,29.24,58.24,363,1009.

119,29.24,57.77,361,1009.75
120,29.22,57.20,347,1009.76
121,29.24,56.65,228,1009.78
122,29.24,56.09,338,1009.76
123,29.19,55.68,84,1009.76
124,29.43,57.55,85,1011.03
125,29.35,63.87,39,1009.78
126,29.36,67.99,53,1009.79
127,29.39,68.82,43,1009.75
128,29.33,67.84,43,1009.77
129,29.34,66.20,43,1009.75
130,29.31,64.38,43,1009.77
131,29.28,62.54,42,1009.76
132,29.32,60.80,42,1009.74
133,29.31,59.25,41,1009.74
134,29.26,57.99,42,1009.75
135,29.27,56.85,42,1009.74
136,29.25,55.89,42,1009.73
137,29.23,55.01,43,1009.74
138,29.23,54.13,40,1009.75
139,29.24,53.31,43,1009.74
140,29.22,52.60,42,1009.71
141,29.22,51.94,41,1009.74
142,29.18,51.31,42,1009.71
143,29.19,50.70,42,1009.71
