Temperature,Humidity,Pressure,Distance,Counter
1,26.16,49.63,38,1009.35
2,26.12,49.42,38,1009.34
3,26.18,49.03,39,1009.35
4,26.20,48.35,41,1009.35
5,26.17,47.63,39,1009.34
6,26.18,46.89,39,1009.37
7,26.17,46.16,37,1009.36
8,26.18,45.56,41,1009.34
9,26.20,44.96,38,1009.36
10,26.19,44.46,38,1009.35
11,26.17,43.91,38,1009.35
12,26.20,43.38,39,1009.33
13,26.23,42.84,38,1009.36
14,26.21,42.38,43,1009.37
15,26.20,41.99,38,1009.35
16,26.24,41.64,44,1009.32
17,26.20,41.46,36,1009.34
18,26.23,41.30,42,1009.34
19,26.22,41.18,43,1009.37
20,26.25,41.07,42,1009.32
21,26.23,41.02,36,1009.37
22,26.23,40.95,41,1009.33
23,26.24,40.89,36,1009.36
24,26.23,40.79,43,1009.34
25,26.22,40.62,41,1009.37
26,26.24,40.47,42,1009.35
27,26.24,40.77,40,1009.35
28,26.26,41.22,42,1009.36
29,26.23,41.61,42,1009.33
30,26.23,41.60,41,1009.36
31,26.25,41.37,40,1009.35
32,26.26,41.03,41,1009.36
33,26.25,40.89,41,1009.36
34,26.27,40.70,39,1009.34
35,26.27,40.38,41,1009.35
36,26.23,40.18,43,1009.32
37,26.29,40.09,43,1009.32
38,26.29,40.27,44,1009.33
39,26.30,40.51,43,1009.36
40,26.32,40.81,53,1009.35
41,26.27,41.01,103,1009.32
42,26.30,40.95,68,1009.33
43,26.29,40.85,43,1009.32
44,26.33,40.79,51,1009.34
45,26.28,40.62,44,1009.33
46,26.29,40.41,43,1009.35
47,26.32,40.17,46,1009.35
48,26.31,39.99,251,1009.32
49,26.33,39.77,247,1009.32
50,26.30,39.65,261,1009.34
51,26.32,39.51,681,1009.31
52,26.32,39.37,212,1009.31
53,26.31,39.33,107,1009.29
54,26.32,39.20,3420,1009.35
55,26.33,39.20,2282,1009.31
56,26.31,39.12,4510,1009.33
57,26.34,39.14,3125,1009.33
58,26.34,39.30,2935,1009.32
59,26.33,39.48,3012,1009.33
60,26.34,39.64,3064,1009.34
61,26.35,39.70,3086,1009.31
62,26.35,39.81,3109,1009.34
63,26.33,39.89,3116,1009.34
64,26.36,40.01,3110,1009.31
65,26.36,40.07,3109,1009.32
66,26.35,40.11,3113,1009.35
67,26.40,40.23,3106,1009.29
68,26.37,40.33,3164,1009.32
69,26.38,40.34,66,1009.30
70,26.40,40.31,70,1009.32
71,26.37,40.26,56,1009.32
72,26.43,40.23,98,1009.36
73,26.41,39.99,68,1009.33
74,26.42,39.82,54,1009.31
75,26.39,39.52,65,1009.32
76,26.44,39.32,3107,1009.
