Counter,Temperature,Humidity,Distance,Pressure,Latitude,Longitude,Altitude
1395,14.42,53.39,11,998.85,40.7638741,13.83694,200.49
1396,14.42,53.35,9,998.87,40.7638741,13.83694,200.699997
1397,14.42,53.43,12,998.89,40.7638741,13.83694,200.6
1398,14.43,53.41,11,998.89,40.7638741,13.83694,200.63
1399,14.41,53.41,13,998.87,40.7638741,13.83694,200.77
1400,14.43,53.43,13,998.87,40.7638741,13.83694,200.809998
1401,14.40,53.40,12,998.87,40.7638741,13.8369389,200.899994
1402,14.43,53.41,13,998.86,40.7638664,13.836935,201.11
1403,14.41,53.37,13,998.86,40.7638664,13.8369331,201.16
1404,14.44,53.38,11,998.85,40.7638664,13.8369331,201.3
1405,14.41,53.34,21,998.89,40.7638664,13.836935,201.33
